heliostat_id,x_coordinate,y_coordinate
0,2.757833329513403,21.08533323464314
1,61.09312413266709,67.1398753829541
2,62.543719911779895,80.85587183354917
3,-22.792393188610838,90.81506227790625
4,-37.80185850005339,53.54613604072409
5,11.948891009501864,29.897816958307622
6,-40.660104409575894,81.96354328336119
7,-37.13555774443879,65.48678907201499
8,-69.17791005652852,27.90292196733479
9,-79.61125373464189,46.487271975273764
10,-75.17087776761083,3.857565727493512
11,-36.048347762865276,-23.69543408181837
12,-4.489283686555183,-90.36092013195707
13,-7.437479006423146,-19.740184616512487
14,12.160040336926834,-10.498752139262905
15,59.2824553210241,-29.64101787352967
16,20.970481858450015,-0.22166309144465401
17,82.7737247780747,11.429838233482911
18,34.72077076902838,-56.10174397326686
19,104.77092110450744,-12.247576143767326
20,35.2250423763721,-11.966241574341002
21,51.09855990447447,52.48859471126609
22,89.0701298575972,71.97137340940779
23,-10.901781643376971,47.47443191232607
24,19.971020577348167,62.05105932595521
25,37.06047989773747,104.02965020789877
26,-4.657305482129569,60.38023286274522
27,-18.04959849739493,46.73422684522061
28,-57.71966170057832,71.06079823227125
29,-44.30319180038939,-8.364485381794186
30,-86.28712486014074,38.73568424668768
31,-15.373087126026647,35.61842361026756
32,-27.05740741613205,-55.816725770121636
33,-48.66218965687203,-21.311060677580095
34,-92.851050431114,-44.052204348129266
35,-73.63700931103023,-9.936814192161968
36,-54.75237765018909,-48.2492102294938
37,28.250317126639377,-99.40972427416023
38,-25.153365989098244,-25.732812662460766
39,59.72795680972465,-98.51856161920033
40,24.596164556876126,-12.81168273725671
41,103.73384721792164,-7.593124495437735
42,17.720412695710046,-40.20139740993457
43,68.3366759929436,-34.9320557372132
44,52.849152907826564,-25.719465843917405
45,70.43189093217583,82.74682090903731
46,23.07424100185284,40.40043715084772
47,31.389107114838453,37.84967268208533
48,-12.20570114799531,43.29371414089422
49,-14.146823760258718,83.39574272206374
50,5.057836206135576,47.875972621021575
51,20.665457002189434,61.68081963878499
52,-25.88921764361951,44.25826219543032
53,-74.18668172527589,61.451575966254005
54,-22.742246298359873,-0.01351330693950814
55,-73.96372803981973,19.148636436362818
56,-25.03662584301574,-0.7513616697611454
57,-73.3801785131385,-22.32815614759649
58,-79.99648685149543,-45.01021976163909
59,-85.85865050637351,-10.13944401905177
60,-86.80344021285887,-77.41856640662347
61,-93.42572083028293,-27.753916652275855
62,-37.48440665883821,-108.60739611387226
63,-60.82892914815896,-23.082815510528278
64,21.375208921972416,-113.33547790405667
65,50.46616933941802,-77.46263955040152
66,-14.465730393333576,-69.16574304994722
67,85.0049037213938,-85.32379445597064
68,83.23967074297934,-97.6520661566692
69,21.200070061004837,-25.135726632737992
70,93.84290794092074,-49.65693016841685
71,48.98069407701503,23.444602904551594
72,137.6368408679569,23.72935884001332
73,96.9400532982443,4.091227195303638
74,118.29477701619335,16.5661383814059
75,52.78100126641334,35.24383877215295
76,46.1030639551928,100.45628782031936
77,89.56462042396724,36.66710553244687
78,-2.6695138791652084,94.37367755105673
79,66.60922794130153,82.02609744953651
80,46.01640271909304,40.91782240114539
81,-27.724683633103684,39.34817227331826
82,-14.985452223783323,104.72007397133665
83,-19.082812715796152,58.54859851564868
84,-14.883110114551876,58.83702277568102
85,-111.99696724333843,14.185580378562058
86,-72.04835498324759,13.942727191834386
87,-54.98907976527745,15.859698346267692
88,-50.68514327828805,18.453100631637888
89,-40.18837993216401,19.438137934081677
90,-37.566763096292874,-20.461372088859328
91,-121.5415859324766,-37.953069467273046
92,-115.66079343622344,-62.53884212804879
93,-77.91541764944684,-62.3773945459906
94,-55.87503099719225,-77.70278742524896
95,-51.52258947492612,-59.328875442724495
96,-55.353793984491745,-55.74468053747265
97,-34.73477354032206,-87.71863711158579
98,-17.957452346941558,-65.68695631519172
99,11.561939611142293,-43.928142611091104
