x,y
1514,3988
3793,3982
3649,3982
1732,3983
3660,3975
5066,3977
1901,3973
5223,3973
3785,3969
3758,3965
3712,3963
1795,3970
1467,3971
3647,3970
3720,3966
567,3971
5277,3962
5120,3961
1864,3956
684,3957
2588,3949
507,3953
4949,3938
1825,3937
1219,3941
5329,3937
1931,3932
1579,3928
1722,3927
1892,3925
2418,3930
5077,3925
5480,3921
5759,3918
1785,3917
1458,3919
5071,3915
2488,3913
1855,3906
1787,3904
5273,3902
5281,3908
1410,3898
5036,3892
1496,3889
1817,3887
3885,3880
2593,3883
1883,3873
2560,3868
1968,3868
1789,3866
1451,3868
3430,3858
1847,3857
1619,3857
1532,3854
1673,3844
2581,3844
1747,3844
3897,3837
1810,3837
1491,3838
5039,3835
4955,3832
1877,3829
4566,3827
4877,3826
3929,3822
3806,3827
1577,3827
3844,3826
3796,3820
1360,3822
1707,3817
1841,3808
3873,3804
3959,3806
4918,3805
1616,3801
4597,3800
1665,3791
1742,3791
4635,3784
3903,3794
1816,3786
1806,3786
2541,3786
4277,3784
1574,3776
1872,3779
4960,3781
4029,3775
3929,3776
4881,3774
4487,3773
3325,3774
3971,3763
1442,3764
1702,3761
1605,3761
671,3769
4674,3763
4745,3758
1837,3758
1849,3757
1525,3759
4847,3755
4599,3751
4402,3743
2881,3743
4836,3740
1739,3735
4788,3741
4712,3735
4778,3736
4281,3735
1803,3734
1661,3735
1744,3728
1564,3733
1482,3736
4642,3735
1870,3731
3941,3734
2938,3728
3888,3733
1882,3727
4753,3716
2852,3723
4877,3720
4125,3717
4490,3718
4185,3718
1606,3709
794,3717
3973,3715
4427,3707
4314,3709
1846,3708
1836,3708
1440,3710
4675,3712
1699,3706
2782,3706
2069,3705
2874,3699
4840,3699
2931,3694
4002,3693
729,3697
2072,3691
4402,3689
1659,3682
4204,3685
4282,3686
1868,3683
1566,3676
2898,3682
1814,3681
1481,3684
2039,3680
1736,3683
4641,3684
4460,3687
2801,3678
2099,3679
4711,3682
4789,3684
2762,3674
3446,3672
4185,3673
2902,3672
1259,3672
4881,3677
4131,3666
4120,3660
4236,3665
4065,3660
1836,3658
2480,3658
1522,3660
4373,3661
4429,3659
4230,3657
1609,3654
2069,3654
1699,3651
4920,3653
4345,3646
1907,3644
1202,3645
4097,3643
4037,3644
4154,3641
2073,3636
3991,3636
4342,3636
1869,3634
4273,3633
1812,3633
1802,3632
1482,3633
2905,3629
2100,3629
1738,3626
2852,3624
1661,3622
4711,3628
4180,3612
4067,3618
2102,3615
1837,3609
1616,3608
4124,3615
2072,3603
1441,3603
4371,3609
1700,3597
1204,3595
4033,3600
1882,3588
1707,3588
2914,3586
1871,3585
4151,3590
1805,3581
4204,3585
1483,3582
2103,3580
4338,3583
4065,3577
1612,3569
1663,3566
1842,3559
2135,3556
2923,3554
1444,3552
2494,3552
2076,3551
1532,3558
2518,3550
1703,3543
2139,3542
1875,3537
1886,3537
1820,3531
796,3538
2875,3531
2109,3529
1487,3531
4142,3538
1574,3534
2650,3527
1744,3521
2583,3519
2908,3521
1667,3512
1619,3512
1845,3509
1530,3510
2504,3507
4418,3506
2943,3514
1677,3504
2083,3500
2146,3492
1881,3489
